Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
3200300;Alfredo Chaves;0,55;0,48;0,71;0,703;0,832;0,611;8,68
3500808;Alfredo Marcondes;0,53;0,36;0,741;0,682;0,84;0,71;4,66
3101631;Alfredo Vasconcelos;0,52;0,41;0,675;0,629;0,834;0,587;16,92
4200705;Alfredo Wagner;0,58;0,46;0,668;0,702;0,882;0,481;12,22
2500577;Algodão de Jandaíra;0,45;0,47;0,548;0,532;0,749;0,413;44,78
2500601;Alhandra;0,52;0,45;0,582;0,544;0,778;0,465;39,52
2600708;Aliança;0,51;0,49;0,604;0,565;0,799;0,488;35,28
1700350;Aliança do Tocantins;0,55;0,47;0,663;0,61;0,801;0,596;20,82
2900900;Almadina;0,52;0,46;0,563;0,563;0,751;0,421;38,08
1700400;Almas;0,59;0,57;0,636;0,616;0,796;0,524;34,89
1500503;Almeirim;0,72;0,65;0,642;0,659;0,809;0,497;38,3
3101706;Almenara;0,67;0,53;0,642;0,636;0,803;0,518;25,31
2400604;Almino Afonso;0,57;0,49;0,624;0,578;0,739;0,568;34,52
4100400;Almirante Tamandaré;0,46;0,43;0,699;0,706;0,84;0,575;4,89
4300471;Almirante Tamandaré do Sul;0,5;0,44;0,74;0,732;0,828;0,669;7,16
5200506;Aloândia;0,55;0,44;0,697;0,694;0,834;0,585;7,45
3101805;Alpercata;0,52;0,45;0,646;0,629;0,824;0,521;15,19
4300505;Alpestre;0,59;0,49;0,671;0,7;0,795;0,543;12,75
3101904;Alpinópolis;0,48;0,47;0,725;0,703;0,862;0,629;8,46
5100250;Alta Floresta;0,59;0,48;0,714;0,709;0,817;0,629;5,77
1100015;Alta Floresta D'Oeste;0,58;0,58;0,641;0,657;0,763;0,526;26,04
3500907;Altair;0,49;0,42;0,687;0,698;0,8;0,581;5,38
1500602;Altamira;0,58;0,56;0,665;0,662;0,811;0,548;22,38
2100402;Altamira do Maranhão;0,5;0,52;0,549;0,486;0,719;0,473;55,51
4100459;Altamira do Paraná;0,63;0,58;0,667;0,667;0,78;0,571;25,06
2300606;Altaneira;0,71;0,55;0,602;0,547;0,774;0,515;49,56
3102001;Alterosa;0,48;0,44;0,668;0,657;0,847;0,536;12,4
2600807;Altinho;0,56;0,51;0,598;0,559;0,792;0,482;42,07
3501004;Altinópolis;0,64;0,45;0,73;0,726;0,843;0,635;2,84
1400050;Alto Alegre;0,55;0,73;0,542;0,518;0,813;0,379;61,63
3501103;Alto Alegre;0,47;0,35;0,7;0,683;0,817;0,616;3,63
4300554;Alto Alegre;0,46;0,48;0,747;0,756;0,859;0,642;6,55
2100436;Alto Alegre do Maranhão;0,58;0,51;0,554;0,516;0,744;0,444;50,64
2100477;Alto Alegre do Pindaré;0,55;0,57;0,558;0,465;0,774;0,483;64,61
1100379;Alto Alegre dos Parecis;0,51;0,54;0,592;0,603;0,777;0,443;33,84
5100300;Alto Araguaia;0,57;0,47;0,704;0,712;0,802;0,612;9,48
4200754;Alto Bela Vista;0,42;0,46;0,755;0,734;0,882;0,664;7,86
5100359;Alto Boa Vista;0,55;0,57;0,651;0,613;0,803;0,561;35,68
3102050;Alto Caparaó;0,61;0,45;0,661;0,666;0,842;0,514;11,78
2400703;Alto do Rodrigues;0,53;0,47;0,672;0,647;0,8;0,585;16,86
4300570;Alto Feliz;0,3;0,29;0,734;0,74;0,886;0,603;1,53
5100409;Alto Garças;0,7;0,46;0,701;0,707;0,835;0,583;7,7
5200555;Alto Horizonte;0,51;0,49;0,719;0,709;0,841;0,624;6,1
3153509;Alto Jequitibá;0,47;0,51;0,66;0,66;0,787;0,554;19,31
2200301;Alto Longá;0,57;0,58;0,585;0,567;0,751;0,47;43,49
4100509;Altônia;0,51;0,38;0,721;0,69;0,848;0,641;5,23
5100508;Alto Paraguai;0,53;0,47;0,638;0,612;0,784;0,541;24,55
1100403;Alto Paraíso;0,62;0,54;0,625;0,664;0,804;0,457;18,03
